"productid";"companyid";"productcode";"productname";"productdesc";"productpic";"barcode";"isstock";"isasset";"materialtypeid";"thickness";"width";"length";"colourid";"qty";"unitofmeasureid";"materialgroupid";"sled";"isautolot";"recordstatus";"updatedate"
"1";"1";"KEY000001";"KEYBOARD LENOVO THINKPAD T SERIES";"";"default.jpg";"";"1";"0";"1";"0,00";"0,00";"0,00";"0";"1,00";"2";"1";"365";"0";"1";"2023-04-15 19:04:51"
"2";"1";"RAM000001";"RAM 4GB DDR3";"";"default.jpg";"";"1";"0";"1";"0,00";"0,00";"0,00";"0";"1,00";"2";"2";"365";"0";"1";"2023-04-15 19:04:53"
"3";"1";"HDD000001";"HDD 500 GB SATA SEAGATE";"";"default.jpg";"";"1";"0";"1";"0,00";"0,00";"0,00";"0";"1,00";"2";"3";"365";"0";"1";"2023-04-15 19:04:54"
"4";"1";"LED000001";"LED LENOVO THINKPAD T 14"" SERIES";"";"default.jpg";"";"1";"0";"1";"0,00";"0,00";"0,00";"0";"1,00";"2";"4";"365";"0";"1";"2023-04-15 19:04:56"
"5";"1";"CAS000001";"CASING LENOVO T420";"";"default.jpg";"";"1";"0";"1";"0,00";"0,00";"0,00";"0";"1,00";"2";"5";"365";"0";"1";"2023-04-15 19:04:57"
"6";"1";"MB0000001";"MAINBOARD T420";"";"default.jpg";"";"1";"0";"1";"0,00";"0,00";"0,00";"0";"1,00";"2";"6";"365";"0";"1";"2023-04-15 19:04:58"
"7";"1";"LPT0000001";"LAPTOP LENOVO THINKPAD T420 / INTEL CORE I5 2.0 GHZ / RAM 4GB DDR3 / HDD 500 GB SATA SEAGATE";"";"default.jpg";"";"1";"0";"5";"0,00";"0,00";"0,00";"0";"1,00";"3";"7";"365";"1";"1";"2023-04-15 19:04:59"
"8";"1";"PRC0000001";"INTEL PROCESSOR CORE I5 2.0 GHZ";"";"default.jpg";"";"1";"0";"1";"0,00";"0,00";"0,00";"0";"1,00";"2";"8";"365";"0";"1";"2023-04-15 19:05:00"
"9";"1";"HRC0000001";"HRC 2.0 X 930 X C";"";"default.jpg";"0";"1";"0";"10";"2,00";"930,00";"0,00";"0";"1,00";"30";"9";"0";"1";"1";"2023-04-15 19:05:01"
"10";"1";"HRC0000002";"HRC 2.0 X 918 X C";"";"default.jpg";"0";"1";"0";"8";"2,00";"918,00";"0,00";"0";"1,00";"30";"9";"0";"1";"1";"2023-04-15 19:05:02"
"11";"1";"CRC0000001";"CRC 0.8 X 900 X C";"";"default.jpg";"0";"1";"0";"8";"1,00";"900,00";"0,00";"0";"1,00";"30";"10";"0";"1";"1";"2023-04-15 19:05:04"
"12";"1";"ATK0000001";"PENSIL 2B";"";"default.jpg";"";"0";"0";"4";"0,00";"0,00";"0,00";"0";"1,00";"5";"11";"0";"0";"1";"2023-04-15 19:05:05"
"13";"1";"JS001";"SEWA TEMPAT";"";"default.jpg";"";"0";"0";"4";"0,00";"0,00";"0,00";"0";"1,00";"12";"14";"0";"0";"1";"2023-04-15 19:05:47"
