"taxid";"taxcode";"taxvalue";"description";"recordstatus";"createdby";"createddate";"updatedby";"updatedate"
"1";"PPN 10% (Masukan)";"10";"Value Added Tax";"1";"0";"2025-12-28 23:38:59";"0";"2023-04-11 19:29:06"
"2";"PPN 10% (Keluaran)";"10";"Value Added Tax";"1";"0";"2025-12-28 23:38:59";"0";"2023-04-11 19:29:06"
"3";"PPN 1% ";"1";"DPP Nilai Lain";"1";"0";"2025-12-28 23:38:59";"0";"2023-04-11 19:29:06"
"4";"PPn 2%";"2";"PPn Kegiatan membangun sendiri termasuk aktiva yan";"1";"0";"2025-12-28 23:38:59";"0";"2023-04-11 19:29:06"
"5";"PPN (NT) ";"0";"PPn yang tak dipungut (kawasan Berikat)";"1";"0";"2025-12-28 23:38:59";"0";"2023-04-11 19:29:06"
"6";"PPH  23 (2)";"2";"Jasa Teknik, Jasa Konsultan, Jasa Management,lainl";"1";"0";"2025-12-28 23:38:59";"0";"2023-04-11 19:29:06"
"7";"PPH  23 (-2)";"-2";"Jasa Teknik, Jasa Konsultan, Jasa Management,lainl";"1";"0";"2025-12-28 23:38:59";"0";"2023-04-11 19:29:06"
"8";"PPH 23 (-4)";"-4";"Jasa Teknik, Jasa Konsultan, Jasa Management,lainl";"1";"0";"2025-12-28 23:38:59";"0";"2023-04-11 19:29:06"
"9";"PPH 23 (-15)";"-10";"Deviden Wajib Pajak Badan";"1";"0";"2025-12-28 23:38:59";"0";"2023-04-11 19:29:06"
"10";"PPH  4 ayat 2 Final (10)";"10";"Jasa sewa tanah dan bangunan";"1";"0";"2025-12-28 23:38:59";"0";"2023-04-11 19:29:06"
"11";"PPH  4 ayat 2 Final (-10)";"-10";"Jasa sewa tanah dan bangunan / Deviden";"1";"0";"2025-12-28 23:38:59";"0";"2023-04-11 19:29:06"
"12";"PPH  4 ayat 2 Final (-2)";"-2";"Pelaksana Kontruksi Kualifikasi kecil";"1";"0";"2025-12-28 23:38:59";"0";"2023-04-11 19:29:06"
"13";"PPH  4 ayat 2 Final (-3)";"-3";"pelaksana kontruksi kualifikasi sedang/Besar";"1";"0";"2025-12-28 23:38:59";"0";"2023-04-11 19:29:06"
"14";"PPH  4 ayat 2 Final (-4)";"-4";"pelaksana kontruksi tak punya kualifikasi";"1";"0";"2025-12-28 23:38:59";"0";"2023-04-11 19:29:06"
"15";"PPH  22 import (2,5)";"2,5";"Pengusaha API";"1";"0";"2025-12-28 23:38:59";"0";"2023-04-11 19:29:06"
"16";"PPH  22 (0,10)";"0,1";"kertas";"1";"0";"2025-12-28 23:38:59";"0";"2023-04-11 19:29:06"
"17";"PPH  22 (0,25)";"0,25";"semen";"1";"0";"2025-12-28 23:38:59";"0";"2023-04-11 19:29:06"
"18";"PPH 22 (0,30)";"0,3";"baja";"1";"0";"2025-12-28 23:38:59";"0";"2023-04-11 19:29:06"
"19";"PPH  22 (0,45)";"0,45";"otomotif";"1";"0";"2025-12-28 23:38:59";"0";"2023-04-11 19:29:06"
"20";"PPH 21 (-5)";"-5";"karyawan 0 - 50 Juta ";"1";"0";"2025-12-28 23:38:59";"0";"2023-04-11 19:29:06"
"21";"PPH 21 (-15)";"-15";"karyawan 50 - 250 Juta ";"1";"0";"2025-12-28 23:38:59";"0";"2023-04-11 19:29:06"
"22";"PPH 21 (-25)";"-25";"Karyawan 250 - 500 Juta";"1";"0";"2025-12-28 23:38:59";"0";"2023-04-11 19:29:06"
"23";"PPH 21 (-30)";"-30";"karyawan di atas 500 juta";"1";"0";"2025-12-28 23:38:59";"0";"2023-04-11 19:29:06"
